nombre;lon;lat;unidades
Colonia San Bartolom«∏;-627.236.406.722.185;-315.279.808.890.143; 352,37   
Colonia San Jos«∏;-60.861.453.091.889;-316.223.065.299.908; 355,89   
Colonia San Pedro;-619.173.543.437.841;-307.826.893.147.179; 359,45   
Colonia Santa Mar«a;-641.768.424.743.253;-374.369.062.402.097; 363,04   
Colonia Santa Rosa;-643.935.047.544.791;-233.864.185.280.626; 366,67   
Colonia Santa Rosa;-579.454.760.162.157;-281.481.432.959.309; 370,34   
Colonia Tirolesa;-640.295.107.530.515;-312.182.550.189.733; 374,04   
Colonia Valtelina;-622.339.804.279.145;-310.524.082.685.551; 377,78   
Colonia Vicente Ag«¨ero;-64.001.954.509.175;-310.166.675.793.953; 381,56   
Colonia Victoria;-544.956.399.291.883;-263.079.117.238.366; 385,38   
Colonia Videla;-635.039.908.818.592;-319.169.547.649.849; 389,23   
Colonia Vignaud;-619.554.557.644.487;-308.424.347.299.693; 393,12   
Colonia Wanda;-543.100.077.563.901;-259.807.484.033.979; 397,05   
Colonias Elisa;-594.073.885.705.906;-269.254.012.720.409; 401,02   
Colonias Unidas;-596.206.760.397.163;-266.989.392.938.955; 405,04   
Comallo;-702.710.463.795.789;-410.251.092.261.411; 409,09   
Comandante A. Guacurary;-54.011.311.196.757;-257.226.094.659.074; 413,18   
Comandante Fontana;-596.848.536.280.091;-253.369.590.717.874; 417,31   
Comechingones;-636.066.406.773.798;-311.716.888.632.059; 421,48   
Comico;-674.285.917.982.655;-411.358.166.511.192; 425,70   
Comodoro Rivadavia;-675.913.153.174.428;-458.393.410.189.072; 429,95   
Comuna Villa Belgrano;-655.967.033.166.023;-275.393.455.705.576; 434,25   
Cona Niyeu;-669.600.916.196.989;-417.591.468.812.231; 438,59   
Concaran;-652.385.006.221.064;-325.648.308.694.663; 442,98   
Concepci«¸n;-58.031.593.308.155;-285.085.585.486.294; 447,41   
Concepci«¸n de la Sierra;-555.161.642.960.258;-279.975.106.090.559; 451,88   
Concepci«¸n del Bermejo;-609.150.799.106.616;-264.390.809.643.573; 456,40   
Conhelo;-646.068.637.776.845;-359.895.788.988.044; 460,97   
Conlara;-652.552.002.582.022;-320.781.856.148.427; 465,58   
Constanza;-613.044.646.745.537;-306.503.841.416.825; 470,23   
Contralmirante Cordero;-681.230.182.434.354;-387.203.467.273.618; 474,94   
Copacabana;-645.015.919.158.185;-306.442.603.235.698; 479,68   
Coranzuli;-66.614.526.284.725;-231.946.260.949.512; 484,48   
Corcovado;-71.457.093.661.324;-43.517.929.877.381; 489,33   
Coronda;-608.664.313.743.489;-319.806.759.524.361; 494,22   
Coronel Arnold;-609.718.538.088.051;-330.973.182.229.218; 499,16   
Coronel Baigorria;-643.679.739.325.012;-328.535.584.171.106; 504,15   
Coronel Belisle;-659.758.157.766.285;-392.017.811.762.867; 509,20   
Coronel Bogado;-605.882.071.972.284;-333.068.723.102.644; 514,29   
Coronel de Marina Leonardo Rosales;-618.360.446.581.448;-388.488.346.485.235; 519,43   
Coronel Dom«nguez;-607.384.468.170.916;-331.910.836.736.566; 524,62   
Coronel Dorrego;-610.956.539.726.774;-38.670.481.146.508; 529,87   
Coronel Du Graty;-60.895.146.198.341;-277.497.326.053.766; 535,17   
Coronel Felipe Varela;-683.284.822.964.494;-29.449.795.605.204; 540,52   
Coronel Fraga;-619.271.244.055.917;-311.787.533.398.123; 545,93   
Coronel Hilario Lagos;-638.577.976.411.479;-35.085.024.294.542; 551,39   
Coronel Moldes;-654.144.258.201.107;-252.941.908.506.985; 556,90   
Coronel Moldes;-645.957.374.156.971;-336.213.761.643.601; 562,47   
Coronel Pringles;-612.646.589.620.305;-381.477.437.843.902; 568,09   
Coronel Su«≠rez;-618.893.137.767.698;-375.325.532.169.014; 573,77   
Corpus;-555.070.851.678.503;-271.463.492.893.014; 579,51   
Corral de Bustos;-621.962.096.731.034;-33.279.888.011.005; 585,31   
Corral Quemado;-670.141.675.035.393;-269.802.628.151.928; 591,16   
Corralito;-641.871.324.165.762;-320.255.900.678.864; 597,07   
Correa;-612.556.105.340.175;-328.661.284.216.727; 603,04   
Corrientes;-587.710.352.036.827;-27.494.777.926.369; 609,07   
Cortaderas;-64.993.145.431.184;-325.179.302.837.987; 615,16   
Corzuela;-610.719.677.178.405;-268.495.342.777.104; 621,31   
Cosqu«n;-646.078.303.478.471;-312.301.247.634.122; 627,53   
Costasacate;-637.622.771.614.346;-316.470.824.674.008; 633,80   
Cote Lai;-595.673.294.759.141;-276.903.851.661.283; 640,14   
Covunco Abajo;-696.916.428.096.758;-386.166.812.663.412; 646,54   
Coyuco-Cochico;-702.492.773.646.575;-365.418.089.920.472; 653,01   
Crispi;-620.117.919.555.162;-318.051.981.594.588; 659,54   
Cruz Alta;-618.111.079.222.229;-330.062.840.802.659; 666,13   
Cruz de Ca«Òa;-649.475.909.508.308;-310.828.883.237.064; 672,79   
Cruz de los Milagros;-590.819.662.707.521;-288.460.057.634.336; 679,52   
Cruz del Eje;-647.749.805.365.374;-307.457.001.539.119; 686,32   
Cuchillo C«¸;-648.154.556.410.667;-382.880.644.808.571; 693,18   
Cuesta Blanca;-645.984.326.274.193;-31.485.021.397.287; 700,11   
Culul«ß;-609.262.185.029.576;-312.478.117.037.022; 707,11   
Curupaity;-616.523.661.988.347;-303.877.590.159.566; 714,19   
Curuz«ß Cuati«≠;-582.762.864.775.326;-297.994.001.929.417; 721,33   
Cushamen;-706.587.711.745.075;-421.630.600.944.267; 728,54   
Cusi Cusi;-666.739.207.590.704;-224.474.904.125.097; 735,83   
Cutral C«¸;-692.541.458.274.133;-389.398.936.598.766; 743,18   
D«az;-610.760.881.361.809;-323.772.801.322.417; 750,62   
Daireaux;-61.891.417.127.905;-366.405.459.243.249; 758,12   
Dalmacio V«∏lez;-635.838.307.311.574;-326.124.531.244.939; 765,70   
Darwin;-65.765.129.258.773;-3.921.702.853.283; 773,36   
De«≠n Funes;-643.546.756.378.304;-304.227.482.302.615; 781,09   
Del Campillo;-645.317.794.477.809;-343.738.504.142.088; 788,90   
Delfin Gallo;-650.611.283.648.018;-268.489.596.016.316; 796,79   
Desaguadero;-670.844.111.188.143;-332.931.731.671.588; 804,76   
Despe«Òaderos;-643.037.279.335.541;-318.023.733.963.541; 812,81   
Desv«o Arij«¸n;-608.689.041.844.499;-318.625.427.633.851; 820,94   
Devoto;-62.304.879.233.785;-314.054.517.995.146; 829,15   
Diego de Alvear;-621.448.112.331.167;-343.109.550.568; 837,44   
Diego de Rojas;-633.412.514.576.711;-310.276.086.920.172; 845,81   
Dina Huapi;-711.511.346.698.346;-410.792.931.337.117; 854,27   
Dique Chico;-643.531.607.957.159;-317.181.315.346.149; 862,81   
Dique Florentino Ameghino;-664.938.176.077.616;-436.946.453.652.295; 871,44   
Doblas;-640.061.584.536.092;-371.752.576.653.959; 880,16   
Doctor Ricardo Rojas;-710.372.325.754.432;-455.777.033.871.546; 888,96   
Dolavon;-65.683.609.112.542;-433.329.711.153.712; 897,85   
Dolores;-576.326.112.996.265;-363.986.615.535.861; 906,83   
Dorila;-637.458.253.289.186;-35.792.273.298.645; 915,89   
Dos Arroyos;-552.673.317.321.973;-277.059.575.800.021; 925,05   
Dos de Mayo;-546.114.381.158.115;-270.916.027.750.349; 934,30   
Dos Rosas y la Legua;-618.891.582.048.213;-306.428.436.541.147; 943,65   
Dr. Atilio Oscar Viglione;-716.794.040.315.733;-441.731.028.533.014; 953,08   
Eduardo Castex;-643.296.829.486.188;-359.371.265.801.401; 962,61   
Egusquiza;-616.230.238.924.311;-310.944.039.294.014; 972,24   
El Aguilar;-656.379.141.890.805;-232.109.438.569.515; 981,96   
El Alc«≠zar;-547.771.362.135.852;-268.436.076.435.471; 991,78   
El Alto;-654.303.983.855.819;-284.229.702.192.834; 1.001,70   
El Ara«Òado;-628.946.381.603.767;-317.420.994.285.225; 1.011,72   
El Araz«≠;-599.920.127.998.863;-29.121.376.964.009; 1.021,83   
El Bolson;-715.292.009.547.547;-418.628.906.112.854; 1.032,05   
El Bordo;-651.601.375.683.571;-245.863.532.648.532; 1.042,37   
El Bracho y el Cevilar;-651.539.697.169.584;-269.800.428.183.293; 1.052,80   
El Brete;-648.798.435.891.844;-30.656.276.826.198; 1.063,32   
El C«¸ndor;-653.795.310.298.623;-22.414.030.404.424; 1.073,96   
El Cadillal;-652.176.179.099.237;-266.034.229.704.115; 1.084,70   
El Cain;-679.105.731.336.342;-417.663.746.514.907; 1.095,54   
El Carmen;-652.749.306.821.562;-244.162.328.438.079; 1.106,50   
El Carril;-654.046.412.498.238;-251.273.759.330.098; 1.117,56   
El Cercado;-655.757.616.015.617;-271.910.533.081.183; 1.128,74   
El Cha«Òar;-650.116.501.532.297;-267.585.094.835.685; 1.140,03   
El Chacho;-654.590.362.546.606;-308.087.116.780.106; 1.151,43   
El Cholar;-706.873.431.812.617;-374.558.329.459.089; 1.162,94   
El Colorado;-593.525.240.305.938;-262.786.318.086.378; 1.174,57   
El Crisp«n;-636.071.854.343.479;-310.189.797.076.703; 1.186,32   
El Cuy;-681.435.897.851.708;-399.042.130.684.158; 1.198,18   
El Fort«n;-623.017.073.883.342;-319.696.658.576.857; 1.210,16   
El Fuerte;-644.580.224.346.764;-243.217.934.967.158; 1.222,26   
El Galp«¸n;-643.349.384.487.265;-254.373.334.069.771; 1.234,49   
El Hoyo;-714.939.336.193.377;-421.082.232.091.107; 1.246,83   
El Huec«ß;-705.833.484.817.915;-376.497.782.492.439; 1.259,30   
El Jard«n;-654.415.593.896.556;-260.357.145.843.493; 1.271,89   
El Mait«∏n;-711.509.289.608.383;-421.227.715.249.121; 1.284,61   
El Manantial;-653.222.639.381.292;-268.395.314.982.664; 1.297,46   
El Manso;-715.461.873.896.747;-415.877.092.934.517; 1.310,43   
El Manzano;-643.382.836.028.946;-310.820.615.291.112; 1.323,54   
El Mojon;-648.964.552.442.379;-272.177.164.727.416; 1.336,77   
El Mollar;-657.637.492.860.761;-269.510.760.628.619; 1.350,14   
El Naranjito;-650.736.277.067.654;-269.938.642.872.945; 1.363,64   
El Naranjo y el Sunchal;-650.681.956.893.794;-265.960.888.406.862; 1.377,28   
El Piquete;-645.780.392.132.909;-240.318.634.646.701; 1.391,05   
El Polear;-655.729.611.377.999;-275.043.602.265.638; 1.404,96   
El Potrero;-645.704.612.298.587;-259.037.792.359.638; 1.419,01   
El Puestito;-647.690.465.238.726;-263.435.461.844.368; 1.433,20   
El Quebrachal;-635.716.971.394.089;-253.951.182.356.291; 1.447,53   
El Rab«¸n;-592.515.639.709.426;-282.131.623.564.398; 1.462,01   
El Rastreador;-635.399.472.201.016;-336.654.575.921.611; 1.476,63   
El Rodeo;-638.576.472.993.799;-301.647.579.225.083; 1.491,39   
El Rodeo;-659.465.483.637.507;-282.412.100.324.274; 1.506,31   
El Sacrificio;-656.382.073.641.255;-276.933.818.569.057; 1.521,37   
El Sauce;-695.258.646.816.178;-394.816.153.694.996; 1.536,59   
El Sauzalito;-616.482.494.847.739;-246.544.130.660.635; 1.551,95   
El Soberbio;-541.568.795.747.353;-270.791.879.419.082; 1.567,47   
El Sombrerito;-59.277.313.770.177;-286.412.656.897.106; 1.583,15   
El Tala;-65.273.042.370.562;-260.211.681.588.359; 1.598,98   
El Talar;-642.904.725.263.415;-235.770.497.484.149; 1.614,97   
El T«o;-628.225.806.131.392;-313.889.356.919.298; 1.631,12   
El Timbo;-651.240.894.061.431;-266.571.108.877.885; 1.647,43   
El Tr«∏bol;-61.706.090.454.015;-322.116.390.000.009; 1.663,90   
El Trapiche;-66.061.091.786.955;-330.307.488.782.957; 1.680,54   
El Volcan;-661.474.909.524.644;-332.673.740.566.263; 1.697,35   
Eldorado;-546.153.014.553.097;-264.223.788.581.657; 1.714,32   
Elena;-643.939.492.510.855;-325.699.065.743.136; 1.731,46   
Elisa;-611.094.233.967.844;-30.691.058.394.819; 1.748,78   
Elortondo;-615.768.623.551.581;-337.743.928.763.854; 1.766,27   
Embajador Martini;-642.940.729.256.625;-353.612.111.194.718; 1.783,93   
Embalse;-643.816.869.058.496;-322.156.832.682.067; 1.801,77   
Embarcaci«¸n;-636.867.474.854.893;-232.139.456.004.596; 1.819,79   
Emilia;-607.465.206.018.549;-310.545.059.210.377; 1.837,98   
Empalme San Carlos;-608.317.705.318.505;-3.154.799.878.908; 1.856,36   
Empalme Villa Constituci«¸n;-604.006.220.966.773;-332.818.339.398.833; 1.874,93   
Empedrado;-586.658.439.667.826;-278.961.218.833.919; 1.893,68   
Enrique Urien;-604.537.324.021.048;-277.976.804.477.474; 1.912,61   
Ensenada;-579.789.322.374.943;-348.422.541.243.278; 1.931,74   
Epuy«∏n;-713.477.379.380.155;-422.742.146.687.025; 1.951,06   
Escaba;-658.621.193.241.881;-276.301.336.583.105; 1.970,57   
Escobar;-587.711.281.467.366;-34.328.718.150.088; 1.990,27   
Esmeralda;-619.994.639.017.835;-316.271.165.743.835; 2.010,17   
Esperanza;-608.895.310.821.133;-314.385.590.389.521; 2.030,28   
Espinillo;-585.647.875.858.739;-250.004.660.450.385; 2.050,58   
Esquel;-713.158.427.579.452;-429.105.175.261.148; 2.071,09   
Esquina;-592.266.510.868.595;-299.337.810.438.058; 2.091,80   
Esquina;-63.778.770.682.649;-310.965.547.596.048; 2.112,71   
Esquina y Mancopa;-651.888.470.221.335;-270.301.134.156.148; 2.133,84   
Estaci«¸n Clucellas;-617.126.891.104.404;-315.252.590.256.917; 2.155,18   
Estaci«¸n General Paz;-641.473.438.921.363;-311.228.499.839.105; 2.176,73   
Estaci«¸n Ju«≠rez Celman;-641.793.986.490.354;-312.437.846.823.994; 2.198,50   
Estaci«¸n Torrent;-564.216.471.648.691;-288.169.435.562.937; 2.220,48   
Estacion Araoz y Tacanas;-6.488.854.807.146;-27.097.335.732.713; 2.242,69   
Estancia de Guadalupe;-652.460.012.237.226;-311.856.303.095.222; 2.265,12   
Estancia Grande;-66.145.396.226.486;-331.581.085.522.715; 2.287,77   
Estancia Vieja;-645.263.514.335.073;-313.861.392.102.136; 2.310,64   
Estanislao del Campo;-601.089.966.071.732;-250.637.553.874.561; 2.333,75   
Esteban Echeverr«a;-58.476.969.025.414;-348.312.099.703.342; 2.357,09   
Esteban Rams;-614.715.691.081.368;-296.759.725.227.319; 2.380,66   
Esther;-606.059.052.149.218;-310.440.868.501.282; 2.404,47   
Etruria;-632.476.339.192.828;-329.395.872.460.527; 2.428,51   
Eufrasio Loza;-635.895.362.222.016;-299.249.635.677.759; 2.452,80   
Eusebia y Carolina;-618.600.693.100.494;-3.094.155.936.696; 2.477,32   
Eustolia;-617.656.861.272.866;-315.807.528.856.735; 2.502,10   
Exaltaci«¸n de la Cruz;-591.559.117.007.684;-342.951.491.690.699; 2.527,12   
Ezeiza;-585.648.395.364.287;-348.758.213.531.443; 2.552,39   
Fachinal;-55.752.406.330.818;-276.682.436.215.363; 2.577,91   
Facundo;-699.689.190.757.892;-452.957.790.585.196; 2.603,69   
Falda del Carmen;-644.824.020.120.422;-315.761.981.297.038; 2.629,73   
Falucho;-640.782.858.104.043;-351.878.951.146.314; 2.656,03   
Famatina;-675.592.920.371.099;-286.973.037.998.884; 2.682,59   
Felicia;-612.319.201.301.032;-312.182.040.726.477; 2.709,41   
Felipe Yofr«∏;-5.840.424.074.046;-290.615.191.828.754; 2.736,51   
Fiambal«≠;-680.496.004.163.813;-273.742.769.412.864; 2.763,87   
Fidela;-61.799.859.529.966;-310.524.241.754.991; 2.791,51   
Fighiera;-604.653.854.509.928;-332.227.947.553.067; 2.819,42   
Firmat;-614.845.915.557.249;-334.467.661.872.122; 2.847,62   
Florencia;-591.445.499.154.819;-280.691.596.081.599; 2.876,10   
Florencio Varela;-582.586.377.649.204;-348.778.729.879.112; 2.904,86   
Florentino Ameghino;-624.013.534.701.346;-348.738.967.496.734; 2.933,90   
Fontana;-590.468.953.135.975;-274.240.633.359.421; 2.963,24   
Formosa;-582.173.444.205.895;-261.958.636.875.411; 2.992,88   
Fort«n Lugones;-598.298.344.316.784;-242.874.111.689.075; 3.022,81   
Fort«n Olmos;-606.679.527.392.561;-289.886.124.948.497; 3.053,03   
Fortin el Patria;-655.216.731.228.319;-347.739.596.252.621; 3.083,56   
Fortuna;-653.883.623.457.859;-351.318.701.277.277; 3.114,40   
Fraga;-658.176.668.186.051;-334.675.887.566.232; 3.145,54   
Fraile Pintado;-649.543.223.731.296;-239.229.619.249.258; 3.177,00   
Franck;-609.378.478.799.339;-315.869.277.209.191; 3.208,77   
Fray Luis Beltr«≠n;-607.339.969.495.167;-327.862.746.028.975; 3.240,86   
Fray Mamerto Esqui«ß;-657.309.008.581.155;-283.329.401.551.221; 3.273,26   
Freyre;-620.979.078.434.039;-311.656.648.235.175; 3.306,00   
Frontera;-620.388.427.574.186;-314.736.517.966.507; 3.339,06   
Fuentes;-610.504.190.872.363;-331.808.907.129.857; 3.372,45   
Fuerte Esperanza;-619.982.165.754.166;-250.435.535.331.707; 3.406,17   
Funes;-608.261.607.949.761;-329.257.676.944.927; 3.440,23   
G«≠lvez;-612.351.211.450.964;-320.411.326.919.865; 3.474,64   
G«Ùdeken;-618.824.911.849.558;-334.139.104.479.583; 3.509,38   
G«¨temberg;-635.504.574.858.833;-29.703.741.548.894; 3.544,48   
Gaboto;-608.071.360.237.379;-324.089.489.847.218; 3.579,92   
Gaiman;-655.118.173.147.311;-433.084.974.956.967; 3.615,72   
Galisteo;-613.261.640.759.401;-310.188.302.273.946; 3.651,88   
Gan Gan;-682.827.116.707.789;-42.517.453.780.872; 3.688,40   
Gancedo;-616.331.625.263.326;-27.407.198.062.851; 3.725,28   
Garabato;-602.141.789.850.229;-288.887.646.607.729; 3.762,53   
Garibaldi;-618.581.121.485.345;-316.567.052.458.795; 3.800,16   
Garmendia;-64.602.021.722.468;-265.437.398.480.203; 3.838,16   
Garruchos;-557.418.943.441.842;-281.045.850.569.418; 3.876,54   
Garuhap«∏;-549.072.138.973.559;-268.872.609.443.926; 3.915,31   
Garup«≠;-558.649.965.962.929;-275.440.492.834.756; 3.954,46   
Gastona y Belicha;-654.926.684.584.773;-273.349.592.982.746; 3.994,01   
Gastre;-692.167.735.510.543;-42.287.175.612.789; 4.033,95   
Gato Colorado;-610.394.020.640.013;-282.303.338.449.873; 4.074,28   
Gdor. Piedrabuena;-647.180.746.042.488;-267.456.882.147.701; 4.115,03   
General «Ångel Vicente Pe«Òaloza;-666.630.521.188.972;-303.128.975.389.814; 4.156,18   
General Acha;-650.659.942.392.503;-376.096.833.380.063; 4.197,74   
General Alvarado;-580.722.485.722.111;-382.027.130.466.249; 4.239,72   
General Alvear;-670.804.473.289.427;-352.178.364.156.832; 4.282,11   
General Alvear;-601.333.612.561.516;-360.345.220.351.902; 4.324,94   
General Arenales;-612.838.006.242.382;-342.374.596.713.145; 4.368,18   
General Baldissera;-623.006.086.559.546;-331.235.893.332.124; 4.411,87   
General Ballivi«≠n;-636.228.257.844.102;-228.977.332.748.781; 4.455,99   
General Belgrano;-659.316.310.510.947;-305.776.916.502.152; 4.500,54   
General Belgrano;-586.980.461.310.919;-358.349.745.328.235; 4.545,55   
General Belgrano;-590.191.697.358.227;-249.409.528.971.948; 4.591,01   
General Cabrera;-638.707.446.907.222;-328.126.298.411.653; 4.636,92   
General Campos;-635.266.190.870.235;-373.995.272.293.204; 4.683,29   
General Capdevila;-614.672.888.167.323;-27.411.362.360.788; 4.730,12   
General Deheza;-637.924.284.582.828;-327.619.158.521.806; 4.777,42   
General Fotheringham;-638.678.208.637.172;-323.218.044.631.245; 4.825,19   
General G«¨emes;-649.080.381.225.923;-248.000.501.678.009; 4.873,45   
General G«¨emes;-594.860.182.346.937;-247.572.918.582.755; 4.922,18   
General Gelly;-605.638.509.648.398;-336.039.733.024.625; 4.971,40   
General Guido;-57.995.784.111.694;-366.659.831.489.807; 5.021,12   
General J. J. Urquiza;-553.936.187.774.799;-270.500.317.841.879; 5.071,33   
General Juan Facundo Quiroga;-66.868.104.514.456;-30.800.959.034.536; 5.122,04   
General Juan Madariaga;-572.307.866.338.235;-37.153.213.652.497; 5.173,26   
General la Madrid;-613.442.438.803.068;-373.557.097.661.663; 5.224,99   
General Lagos;-60.576.348.305.155;-33.115.379.504.631; 5.277,24   
General Lamadrid;-686.977.547.342.455;-287.904.353.562.757; 5.330,02   
General las Heras;-589.958.733.938.567;-349.094.258.328.137; 5.383,32   
General Lavalle;-569.422.695.810.825;-366.518.890.133.331; 5.437,15   
General Levalle;-639.268.210.537.681;-340.132.450.114.982; 5.491,52   
General Lucio Victorio Mansilla;-586.341.764.155.735;-266.536.726.754.651; 5.546,44   
General Mosconi;-639.782.396.370.587;-226.055.769.659.415; 5.601,90   
General Mosconi;-623.006.586.293.614;-231.836.667.199.884; 5.657,92   
General Ocampo;-660.590.548.631.785;-310.066.417.358.943; 5.714,50   
General Paz;-583.900.057.061.752;-354.662.020.729.313; 5.771,64   
General Pico;-636.162.749.709.165;-35.579.774.285.604; 5.829,36   
General Pinedo;-613.663.751.828.745;-272.779.150.070.409; 5.887,65   
General Pinto;-620.397.484.845.501;-346.683.135.253.941; 5.946,53   
General Pizarro;-638.534.468.819.852;-242.794.745.686.322; 6.005,99   
General Pueyrred«¸n;-57.743.144.039.076;-379.656.760.017.008; 6.066,05   
General Roca;-619.145.008.159.753;-327.275.119.390.043; 6.126,72   
General Rodr«guez;-589.879.503.249.052;-346.503.494.927.057; 6.187,98   
General San Mart«n;-661.459.756.727.951;-316.413.069.709.299; 6.249,86   
General San Mart«n;-585.643.145.358.558;-345.526.490.761.278; 6.312,36   
General San Mart«n;-637.483.607.116.489;-382.823.959.989.124; 6.375,48   
General Vedia;-587.281.314.225.757;-268.225.382.802.059; 6.439,24   
General Viamonte;-610.501.968.347.291;-34.997.569.924.782; 6.503,63   
General Villegas;-629.535.454.568.402;-347.687.371.056.865; 6.568,67   
Gessler;-611.281.732.028.102;-318.890.862.846.595; 6.634,35   
Gobernador Costa;-707.832.052.068.574;-442.923.070.734.091; 6.700,70   
Gobernador Crespo;-603.853.188.155.488;-303.421.799.750.288; 6.767,71   
Gobernador Duval;-658.572.271.584.388;-385.453.661.204.737; 6.835,38   
Gobernador Ing. Valent«n Virasoro;-56.146.356.903.602;-280.253.723.148.576; 6.903,74   
Gobernador L«¸pez;-552.119.796.755.876;-276.390.377.593.074; 6.972,77   
Gobernador Mart«nez;-589.110.919.001.421;-289.078.579.201.355;110
Gobernador Roca;-553.680.377.708.939;-272.531.814.207.832; 111,10   
Godoy;-604.723.055.010.023;-334.159.667.129.409; 112,21   
Godoy Cruz;-688.890.844.545.155;-329.297.600.556.689; 113,33   
Golondrina;-603.399.254.443.495;-284.569.944.696.721; 114,47   
Goya;-591.814.817.449.753;-293.387.451.805.435; 115,61   
Gral. Alvear;-551.800.539.155.609;-274.190.588.795.896; 116,77   
Gral. Conesa;-643.692.830.696.643;-401.208.064.756.328; 117,93   
Gral. Enrique Godoy;-671.569.924.498.788;-388.781.596.546.557; 119,11   
Gral. Fdez. Oro;-679.228.735.284.277;-389.627.414.832.882; 120,31   
Gral. Roca;-676.126.070.896.437;-390.084.775.603.203; 121,51   
Gral. San Martengeneral San Mart«n;-592.755.844.593.318;-265.221.875.283.042; 122,72   
Gran Guardia;-588.869.102.543.172;-258.624.689.502.625; 123,95   
Granadero Baigorria;-607.040.059.945.102;-328.513.187.425.264; 125,19   
Gregoria P«∏rez de Denis;-615.595.744.698.347;-281.279.741.795.842; 126,44   
Grutly;-610.940.311.148.995;-31.237.688.238.885; 127,71   
Gua«Òacos;-709.333.362.922.709;-372.860.435.824.025; 128,98   
Guachipas;-654.445.328.508.854;-257.029.452.739.388; 130,27   
Guadalupe Norte;-594.143.676.323.245;-289.633.631.140.973; 131,58   
Gualjaina;-705.385.061.881.655;-427.142.084.594.083; 132,89   
Guamin«;-624.187.740.896.092;-368.905.500.665.858; 134,22   
Guanaco Muerto;-650.659.885.088.886;-304.602.024.394.053; 135,56   
Guaran«;-551.766.194.604.071;-275.607.188.356.084; 136,92   
Guardia Mitre;-63.704.869.821.598;-404.374.907.428.096; 138,29   
Guasapampa;-653.098.829.147.869;-31.134.641.078.071; 139,67   
Guatimoz«n;-62.433.942.915.908;-334.605.679.567.117; 141,07   
Guatrach«∏;-636.737.487.898.962;-376.718.770.730.308; 142,48   
Guavirav«;-568.201.061.069.556;-293.247.220.262.724; 143,90   
Guaymall«∏n;-687.323.728.513.948;-328.910.429.154.042; 145,34   
Helvecia;-601.186.164.444.114;-310.642.525.453.231; 146,80   
Herlitzka;-58.335.000.997.442;-27.617.182.137.133; 148,26   
Hermoso Campo;-613.295.201.873.307;-276.219.112.870.161; 149,75   
Hernando;-63.731.976.625.652;-324.298.361.512.602; 151,24   
Herradura;-582.991.974.832.003;-264.861.755.594.849; 152,76   
Hersilia;-618.292.420.298.891;-299.757.890.699.804; 154,28   
Hip«¸lito Irigoyen;-553.071.982.607.112;-271.001.832.606.051; 155,83   
Hip«¸lito Yrigoyen;-653.462.154.739.535;-22.876.197.810.149; 157,38   
Hip«¸lito Yrigoyen;-642.957.534.665.367;-232.605.117.685.676; 158,96   
Hip«¸lito Yrigoyen;-616.600.936.665.535;-362.593.312.232.241; 160,55   
Hipat«a;-610.746.609.329.513;-310.997.692.458.585; 162,15   
Huacalera;-653.946.655.371.627;-233.977.683.815.659; 163,78   
Hualf«n;-666.867.349.793.277;-272.327.739.205.627; 165,41   
Huanchilla;-636.351.900.273.338;-336.666.603.550.782; 167,07   
Huanqueros;-611.090.715.369.418;-298.578.882.238.486; 168,74   
Huasa Pampa;-656.228.768.277.513;-278.646.840.304.662; 170,42   
Huerta Grande;-644.965.933.938.749;-31.072.010.551.809; 172,13   
Hugentobler;-61.757.243.928.205;-309.141.614.845.637; 173,85   
Hughes;-613.698.198.632.529;-338.289.201.098.464; 175,59   
Huillapima;-659.135.566.327.798;-286.559.829.253.266; 177,34   
Huinca Renanc«¸;-643.759.223.052.139;-348.375.108.995.881; 179,12   
Huinganco;-705.999.829.263.709;-370.638.452.103.236; 180,91   
Humahuaca;-653.082.961.701.977;-231.800.320.816.974; 182,72   
Humberto Primo;-613.471.968.909.725;-30.868.882.352.834; 184,55   
Humboldt;-611.185.199.212.055;-314.018.426.247.073; 186,39   
Hurlingham;-586.496.943.606.349;-345.992.140.053.733; 188,26   
Ibarlucea;-608.055.572.417.445;-328.521.392.232.929; 190,14   
Ibarreta;-598.647.594.063.236;-252.135.553.298.659; 192,04   
Ica«Òo;-65.150.926.733.957;-288.613.214.720.859; 193,96   
Idiazabal;-630.314.306.796.737;-328.118.251.859.775; 195,90   
Iglesia;-694.379.498.926.956;-296.066.873.518.889; 197,86   
Iguaz«ß;-543.757.510.644.289;-256.745.733.703.587; 199,84   
Impira;-636.502.998.161.586;-317.968.283.637.741; 201,84   
Independencia;-673.355.202.231.145;-301.144.612.462.884; 203,85   
Ing. Jacobacci;-695.580.631.515.132;-413.324.324.077.447; 205,89   
Ingeniero Chanourdie;-596.629.245.992.144;-286.798.978.864.083; 207,95   
Ingeniero Guillermo N. Ju«≠rez;-618.551.751.958.628;-238.985.673.230.593; 210,03   
Ingeniero Huergo;-672.329.966.686.374;-388.373.190.542.739; 212,13   
Ingeniero Luiggi;-646.342.119.573.138;-353.868.979.248.351; 214,25   
Inriville;-622.232.305.915.593;-329.444.827.064.459; 216,39   
Intendente Alvear;-635.508.311.755.451;-352.731.377.859.158; 218,56   
Intiyaco;-603.442.851.023.737;-286.594.190.058.826; 220,74   
Iruya;-650.073.390.630.697;-227.966.946.998.465; 222,95   
Isla de Ca«Òas;-646.309.520.432.882;-228.751.953.756.977; 225,18   
